latitude,longitude
-0.8238,-80.7961
-3.7116,-81.1858
-2.9867,-80.9889
-3.0081,-80.9278
-3.5663,-81.183
-2.4881,-81.1298
-1.0609,-81.832
-2.706,-81.0905
-2.6754,-81.1034
-2.519,-81.2796
-3.5134,-80.8782
-3.5327,-80.9564
-0.8203,-80.8058
-1.5846,-81.4287
-0.1998,-81.8067
-0.1555,-81.6271
-0.3426,-81.3912
-0.7615,-82.0937
-0.6207,-81.5934
-3.3946,-80.7518
-3.3208,-81.0064
-0.4603,-80.4783
-3.2859,-81.0257
-2.9106,-81.3498
-1.7047,-81.1612
-3.3336,-80.9093
-1.121,-81.6636
-0.521,-81.8606
-1.5811,-81.2987
-3.0698,-80.9278
-1.1358,-81.6575
-3.0751,-80.956
-3.7425,-80.9526
-2.1887,-81.2413
-0.8132,-81.2114
-1.0619,-81.1634
-1.8281,-81.0591
-3.4092,-81.2069
-2.8985,-81.358
-3.4631,-81.1827
-1.8142,-81.1056
-3.3827,-81.0136
-1.8027,-81.0343
-2.8052,-81.1802
-2.1822,-81.1316
-2.1948,-81.1242
-2.2275,-81.1625
-2.2146,-81.1252
-3.4882,-80.8333
-3.5311,-80.9273
-3.5313,-80.9333
-3.747,-80.958
-3.7036,-80.9246
-0.4494,-80.6586
-2.0411,-81.0175
-2.5034,-81.2959
-2.0391,-81.0731
-2.03,-81.0194
-2.192,-81.1309
-2.17,-81.1186
-1.2635,-81.0899
-1.1252,-81.6672
-3.344,-80.8921
-3.2502,-81.0167
-1.259,-81.0804
-3.2976,-81.0599
-1.4958,-81.2612
-3.5483,-80.6783
-3.1006,-80.9894
-1.1298,-81.6768
-0.7945,-80.8091
-1.339,-80.983
-1.6489,-81.2712
-1.2672,-81.061
-0.5787,-80.729
-1.2507,-81.06
-0.8272,-80.8124
-2.5729,-81.2224
-2.7394,-81.1912
-1.2933,-81.055
-2.7288,-81.1929
-1.2892,-81.0756
-2.823,-81.2138
-1.2876,-81.0819
-2.7893,-81.2297
-3.2812,-80.8662
-1.3508,-80.9919
-3.4206,-80.7106
-3.3336,-80.8522
-1.8015,-81.1033
-1.7858,-81.0991
-3.1645,-80.7966
-3.3396,-80.9703
-3.0043,-81.1644
-2.8254,-81.1595
-2.6316,-81.2634
-2.9759,-81.0114
-3.1579,-80.7912
-2.9864,-80.9888
-3.155,-80.7839
-3.5305,-80.6676
-3.305,-81.0611
-3.092,-81.0219
-1.2617,-81.0897
-3.3488,-80.9216
-1.3327,-81.0988
-3.3598,-80.9273
-3.2458,-81.0063
