"","geometry"
"11292",c(25.626667, -80.091667)
"11293",c(25.626667, -80.091667)
"11294",c(25.626667, -80.091667)
"11295",c(25.626667, -80.091667)
"11296",c(25.626667, -80.091667)
"11297",c(25.556667, -80.101667)
"11298",c(25.556667, -80.101667)
"11299",c(25.626667, -80.091667)
"11300",c(25.626667, -80.091667)
"11301",c(25.626667, -80.091667)
"11302",c(25.626667, -80.091667)
"11303",c(25.626667, -80.091667)
"11304",c(25.626667, -80.091667)
"11305",c(25.626667, -80.091667)
"11306",c(25.626667, -80.091667)
"11307",c(24.50883, -81.57367)
"11308",c(24.50883, -81.57367)
"11309",c(24.54367, -81.776)
"11310",c(24.50883, -81.57367)
"11311",c(24.50883, -81.57367)
"11312",c(24.50883, -81.57367)
"11313",c(24.54367, -81.776)
"11314",c(24.54367, -81.776)
"11315",c(24.54367, -81.776)
"11316",c(24.50883, -81.57367)
"11317",c(24.54367, -81.776)
"11318",c(24.74433, -80.78033)
"11319",c(24.54367, -81.776)
"11320",c(24.74433, -80.78033)
"11321",c(24.74433, -80.78033)
"11322",c(24.74433, -80.78033)
"11323",c(24.74433, -80.78033)
"11324",c(24.44467, -81.92617)
"11325",c(24.44467, -81.92617)
"11326",c(24.44467, -81.92617)
"11327",c(24.44467, -81.92617)
"11328",c(24.46483, -81.8375)
"11329",c(24.44467, -81.92617)
"11330",c(24.74433, -80.78033)
"11331",c(24.46483, -81.8375)
"11332",c(24.44467, -81.92617)
"11333",c(24.46483, -81.8375)
"11334",c(24.5505, -81.71417)
"11335",c(24.549, -81.7435)
"11336",c(24.46483, -81.8375)
"11337",c(24.46483, -81.8375)
"11338",c(24.549, -81.7435)
"11339",c(24.46483, -81.8375)
"11340",c(24.549, -81.7435)
"11341",c(24.549, -81.7435)
"11342",c(24.549, -81.7435)
"11343",c(24.5505, -81.71417)
"11344",c(24.549, -81.7435)
"11345",c(24.5505, -81.71417)
"11346",c(24.5505, -81.71417)
"11347",c(24.5505, -81.71417)
"11348",c(24.5505, -81.71417)
"11349",c(24.5505, -81.71417)
"11350",c(24.5505, -81.71417)
"11351",c(24.69767, -80.9695)
"11352",c(24.69767, -80.9695)
"11353",c(24.69767, -80.9695)
"11354",c(24.69767, -80.9695)
"11355",c(24.69767, -80.9695)
"11356",c(24.4935, -81.71367)
"11357",c(24.4935, -81.71367)
"11358",c(24.4935, -81.71367)
"11359",c(24.69767, -80.9695)
"11360",c(24.4935, -81.71367)
"11361",c(24.4935, -81.71367)
"11362",c(24.50267, -81.67283)
"11363",c(24.50267, -81.67283)
"11364",c(24.4935, -81.71367)
"11365",c(24.50267, -81.67283)
"11366",c(24.50267, -81.67283)
"11367",c(24.50267, -81.67283)
"11368",c(24.49683, -81.70633)
"11369",c(24.50267, -81.67283)
"11370",c(24.49683, -81.70633)
"11371",c(24.49683, -81.70633)
"11372",c(24.49683, -81.70633)
"11373",c(24.48433, -81.75683)
"11374",c(24.48433, -81.75683)
"11375",c(24.49683, -81.70633)
"11376",c(24.49683, -81.70633)
"11377",c(24.48433, -81.75683)
"11378",c(24.48433, -81.75683)
"11379",c(24.57017, -81.32717)
"11380",c(24.48433, -81.75683)
"11381",c(24.57017, -81.32717)
"11382",c(24.57017, -81.32717)
"11383",c(24.48433, -81.75683)
"11384",c(24.57017, -81.32717)
"11385",c(24.56817, -81.38517)
"11386",c(24.57017, -81.32717)
"11387",c(24.57017, -81.32717)
"11388",c(24.56817, -81.38517)
"11389",c(24.56817, -81.38517)
"11390",c(24.56817, -81.38517)
"11391",c(24.68538, -80.96382)
"11392",c(24.56817, -81.38517)
"11393",c(24.56817, -81.38517)
"11394",c(24.68538, -80.96382)
"11395",c(24.68538, -80.96382)
"11396",c(24.68538, -80.96382)
"11397",c(24.68538, -80.96382)
"11398",c(24.68538, -80.96382)
"11399",c(24.9055, -80.61533)
"11400",c(24.9055, -80.61533)
"11401",c(24.9055, -80.61533)
"11402",c(24.9055, -80.61533)
"11403",c(24.9875, -80.4144)
"11404",c(24.9875, -80.4144)
"11405",c(24.9055, -80.61533)
"11406",c(24.9055, -80.61533)
"11407",c(24.9875, -80.4144)
"11408",c(24.9875, -80.4144)
"11409",c(25.58667, -80.09217)
"11410",c(24.9875, -80.4144)
"11411",c(24.9875, -80.4144)
"11412",c(25.58667, -80.09217)
"11413",c(25.58667, -80.09217)
"11414",c(25.58667, -80.09217)
"11415",c(25.58667, -80.09217)
"11416",c(25.58667, -80.09217)
"11417",c(24.52317, -81.51833)
"11418",c(24.7655, -80.7565)
"11419",c(24.52317, -81.51833)
"11420",c(24.52317, -81.51833)
"11421",c(24.52317, -81.51833)
"11422",c(24.7655, -80.7565)
"11423",c(24.52317, -81.51833)
"11424",c(24.52317, -81.51833)
"11425",c(24.7655, -80.7565)
"11426",c(25.211, -80.22)
"11427",c(24.7655, -80.7565)
"11428",c(24.7655, -80.7565)
"11429",c(25.211, -80.22)
"11430",c(24.7655, -80.7565)
"11431",c(25.211, -80.22)
"11432",c(25.211, -80.22)
"11433",c(25.211, -80.22)
"11434",c(25.211, -80.22)
"11435",c(24.45867, -81.8445)
"11436",c(24.45867, -81.8445)
"11437",c(24.45867, -81.8445)
"11438",c(24.45867, -81.8445)
"11439",c(24.45867, -81.8445)
"11440",c(24.55417, -81.68133)
"11441",c(24.45867, -81.8445)
"11442",c(24.45867, -81.8445)
"11443",c(24.55417, -81.68133)
"11444",c(24.55417, -81.68133)
"11445",c(24.55417, -81.68133)
"11446",c(24.55417, -81.68133)
"11447",c(24.55417, -81.68133)
"11448",c(24.55417, -81.68133)
"11449",c(24.55417, -81.68133)
"11450",c(24.55383, -81.68717)
"11451",c(24.55383, -81.68717)
"11452",c(24.55383, -81.68717)
"11453",c(24.55383, -81.68717)
"11454",c(24.55383, -81.68717)
"11455",c(24.55383, -81.68717)
"11456",c(24.55383, -81.68717)
"11457",c(24.55383, -81.68717)
"11458",c(24.55383, -81.68717)
"11459",c(24.50167, -81.63167)
"11460",c(24.50167, -81.63167)
"11461",c(24.50167, -81.63167)
"11462",c(24.50167, -81.63167)
"11463",c(24.50167, -81.63167)
"11464",c(24.50167, -81.63167)
"11465",c(24.454, -81.85717)
"11466",c(24.50167, -81.63167)
"11467",c(24.50167, -81.63167)
"11468",c(24.454, -81.85717)
"11469",c(24.454, -81.85717)
"11470",c(24.454, -81.85717)
"11471",c(24.454, -81.85717)
"11472",c(25.48667, -80.15)
"11473",c(24.454, -81.85717)
"11474",c(25.48667, -80.15)
"11475",c(25.48667, -80.15)
"11476",c(25.48667, -80.15)
"11477",c(24.454, -81.85717)
"11478",c(25.48667, -80.15)
"11479",c(25.48667, -80.15)
"11480",c(25.06933, -80.37567)
"11481",c(25.06933, -80.37567)
"11482",c(25.06933, -80.37567)
"11483",c(25.20667, -80.28433)
"11484",c(25.06933, -80.37567)
"11485",c(25.06933, -80.37567)
"11486",c(25.06933, -80.37567)
"11487",c(25.20667, -80.28433)
"11488",c(25.20667, -80.28433)
"11489",c(24.92267, -80.50567)
"11490",c(25.20667, -80.28433)
"11491",c(25.20667, -80.28433)
"11492",c(25.20667, -80.28433)
"11493",c(24.92267, -80.50567)
"11494",c(24.92267, -80.50567)
"11495",c(24.92267, -80.50567)
"11496",c(24.92267, -80.50567)
"11497",c(24.92267, -80.50567)
"11498",c(24.9343, -80.55)
"11499",c(24.9343, -80.55)
"11500",c(24.9343, -80.55)
"11501",c(24.9343, -80.55)
"11502",c(24.9343, -80.55)
"11503",c(24.9343, -80.55)
"11504",c(25.1545, -80.28817)
"11505",c(25.1545, -80.28817)
"11506",c(25.1545, -80.28817)
"11507",c(25.1545, -80.28817)
"11508",c(25.1545, -80.28817)
"11509",c(24.615, -81.3955)
"11510",c(24.615, -81.3955)
"11511",c(24.615, -81.3955)
"11512",c(24.615, -81.3955)
"11513",c(24.615, -81.3955)
"11514",c(25.1545, -80.28817)
"11515",c(25.28383, -80.206)
"11516",c(24.615, -81.3955)
"11517",c(25.28383, -80.206)
"11518",c(25.28383, -80.206)
"11519",c(25.28383, -80.206)
"11520",c(24.49133, -81.664)
"11521",c(25.28383, -80.206)
"11522",c(25.28383, -80.206)
"11523",c(24.49133, -81.664)
"11524",c(24.49133, -81.664)
"11525",c(24.49133, -81.664)
"11526",c(24.49133, -81.664)
"11527",c(24.49133, -81.664)
"11528",c(24.49133, -81.664)
"11529",c(24.49133, -81.664)
"11530",c(24.49133, -81.664)
"11531",c(24.49133, -81.664)
"11532",c(24.49133, -81.664)
"11533",c(24.49133, -81.664)
"11534",c(24.49133, -81.664)
"11535",c(24.48783, -81.6755)
"11536",c(24.48783, -81.6755)
"11537",c(24.48783, -81.6755)
"11538",c(24.48783, -81.6755)
"11539",c(24.48783, -81.6755)
"11540",c(24.48783, -81.6755)
"11541",c(24.48783, -81.6755)
"11542",c(24.48783, -81.6755)
"11543",c(24.48783, -81.6755)
"11544",c(24.48783, -81.6755)
"11545",c(24.48183, -81.706)
"11546",c(24.48183, -81.706)
"11547",c(24.48783, -81.6755)
"11548",c(24.48783, -81.6755)
"11549",c(24.48183, -81.706)
"11550",c(24.48183, -81.706)
"11551",c(24.48183, -81.706)
"11552",c(24.48183, -81.706)
"11553",c(24.48183, -81.706)
"11554",c(24.48183, -81.706)
"11555",c(24.48183, -81.706)
"11556",c(24.48183, -81.706)
"11557",c(24.481, -81.71233)
"11558",c(24.48183, -81.706)
"11559",c(24.481, -81.71233)
"11560",c(24.48183, -81.706)
"11561",c(24.481, -81.71233)
"11562",c(24.481, -81.71233)
"11563",c(24.481, -81.71233)
"11564",c(24.481, -81.71233)
"11565",c(24.481, -81.71233)
"11566",c(24.481, -81.71233)
"11567",c(24.481, -81.71233)
"11568",c(24.481, -81.71233)
"11569",c(24.481, -81.71233)
"11570",c(24.481, -81.71233)
"11571",c(24.61933, -81.38117)
"11572",c(24.481, -81.71233)
"11573",c(24.61933, -81.38117)
"11574",c(24.61933, -81.38117)
"11575",c(24.615, -81.394)
"11576",c(24.61933, -81.38117)
"11577",c(24.61933, -81.38117)
"11578",c(24.61933, -81.38117)
"11579",c(24.615, -81.394)
"11580",c(24.615, -81.394)
"11581",c(24.615, -81.394)
"11582",c(25.01783, -80.40783)
"11583",c(24.615, -81.394)
"11584",c(25.01783, -80.40783)
"11585",c(25.01783, -80.40783)
"11586",c(25.01783, -80.40783)
"11587",c(24.615, -81.394)
"11588",c(25.01783, -80.40783)
"11589",c(25.01783, -80.40783)
"11590",c(24.54633, -81.40833)
"11591",c(24.54633, -81.40833)
"11592",c(24.54633, -81.40833)
"11593",c(24.54633, -81.40833)
"11594",c(24.54633, -81.40833)
"11595",c(24.54633, -81.40833)
"11596",c(24.54683, -81.40433)
"11597",c(24.54683, -81.40433)
"11598",c(24.54683, -81.40433)
"11599",c(24.54683, -81.40433)
"11600",c(24.54683, -81.40433)
"11601",c(25.395, -80.13167)
"11602",c(25.395, -80.13167)
"11603",c(25.395, -80.13167)
"11604",c(24.54683, -81.40433)
"11605",c(25.395, -80.13167)
"11606",c(25.475, -80.11333)
"11607",c(25.395, -80.13167)
"11608",c(25.475, -80.11333)
"11609",c(25.395, -80.13167)
"11610",c(25.475, -80.11333)
"11611",c(25.475, -80.11333)
"11612",c(25.475, -80.11333)
"11613",c(25.475, -80.11333)
"11614",c(25.55667, -80.10167)
"11615",c(25.55667, -80.10167)
"11616",c(25.55667, -80.10167)
"11617",c(25.55667, -80.10167)
"11618",c(25.55667, -80.10167)
"11619",c(25.55667, -80.10167)
"11620",c(25.62667, -80.09167)
"11621",c(25.62667, -80.09167)
"11622",c(25.62667, -80.09167)
"11623",c(25.62667, -80.09167)
"11624",c(25.62667, -80.09167)
"11625",c(25.31833, -80.18333)
"11626",c(25.34, -80.165)
"11627",c(25.31833, -80.18333)
"11628",c(25.31833, -80.18333)
"11629",c(25.31833, -80.18333)
"11630",c(25.62667, -80.09167)
"11631",c(25.31833, -80.18333)
"11632",c(25.31833, -80.18333)
"11633",c(25.34, -80.165)
"11634",c(25.34, -80.165)
"11635",c(25.385, -80.165)
"11636",c(25.385, -80.165)
"11637",c(25.34, -80.165)
"11638",c(25.34, -80.165)
"11639",c(25.34, -80.165)
"11640",c(25.385, -80.165)
"11641",c(25.41, -80.15167)
"11642",c(25.385, -80.165)
"11643",c(25.385, -80.165)
"11644",c(25.385, -80.165)
"11645",c(25.41, -80.15167)
"11646",c(25.41, -80.15167)
"11647",c(25.41, -80.15167)
"11648",c(25.41, -80.15167)
"11649",c(25.41167, -80.18667)
"11650",c(25.41, -80.15167)
"11651",c(25.41167, -80.18667)
"11652",c(25.41167, -80.18667)
"11653",c(25.12333, -80.2975)
"11654",c(25.41167, -80.18667)
"11655",c(25.41167, -80.18667)
"11656",c(25.41167, -80.18667)
"11657",c(25.12333, -80.2975)
"11658",c(25.12333, -80.2975)
"11659",c(25.12333, -80.2975)
"11660",c(25.11183, -80.303)
"11661",c(25.12333, -80.2975)
"11662",c(25.12333, -80.2975)
"11663",c(25.11183, -80.303)
"11664",c(25.11183, -80.303)
"11665",c(25.11183, -80.303)
"11666",c(25.11183, -80.303)
"11667",c(24.85217, -80.6215)
"11668",c(25.11183, -80.303)
"11669",c(24.85217, -80.6215)
"11670",c(24.85217, -80.6215)
"11671",c(24.85217, -80.6215)
"11672",c(25.215, -80.27983)
"11673",c(24.85217, -80.6215)
"11674",c(25.215, -80.27983)
"11675",c(25.215, -80.27983)
"11676",c(25.215, -80.27983)
"11677",c(25.2165, -80.28683)
"11678",c(24.85217, -80.6215)
"11679",c(25.215, -80.27983)
"11680",c(25.2165, -80.28683)
"11681",c(25.215, -80.27983)
"11682",c(25.2165, -80.28683)
"11683",c(25.2165, -80.28683)
"11684",c(25.2165, -80.28683)
"11685",c(25.0725, -80.3795)
"11686",c(25.0725, -80.3795)
"11687",c(25.0725, -80.3795)
"11688",c(25.0725, -80.3795)
"11689",c(25.06733, -80.39)
"11690",c(25.0725, -80.3795)
"11691",c(25.06733, -80.39)
"11692",c(25.06733, -80.39)
"11693",c(25.0725, -80.3795)
"11694",c(25.2165, -80.28683)
"11695",c(24.95333, -80.4581)
"11696",c(24.95333, -80.4581)
"11697",c(25.06733, -80.39)
"11698",c(24.95333, -80.4581)
"11699",c(25.06733, -80.39)
"11700",c(24.95333, -80.4581)
"11701",c(24.95333, -80.4581)
"11702",c(25.46333, -80.16833)
"11703",c(25.46333, -80.16833)
"11704",c(25.06733, -80.39)
"11705",c(24.95333, -80.4581)
"11706",c(25.46333, -80.16833)
"11707",c(25.46333, -80.16833)
"11708",c(25.7025, -80.098)
"11709",c(25.46333, -80.16833)
"11710",c(25.46333, -80.16833)
"11711",c(25.7025, -80.098)
"11712",c(25.7025, -80.098)
"11713",c(25.7025, -80.098)
"11714",c(25.7025, -80.098)
"11715",c(25.7025, -80.098)
"11716",c(25.7025, -80.098)
"11717",c(24.63233, -81.08967)
"11718",c(25.7025, -80.098)
"11719",c(24.63233, -81.08967)
"11720",c(24.63233, -81.08967)
"11721",c(24.63233, -81.08967)
"11722",c(24.628, -81.11)
"11723",c(24.63233, -81.08967)
"11724",c(24.63233, -81.08967)
"11725",c(24.628, -81.11)
"11726",c(24.45433, -81.8775)
"11727",c(24.45433, -81.8775)
"11728",c(24.628, -81.11)
"11729",c(24.628, -81.11)
"11730",c(24.628, -81.11)
"11731",c(24.45433, -81.8775)
"11732",c(24.628, -81.11)
"11733",c(25.22483, -80.21167)
"11734",c(24.45433, -81.8775)
"11735",c(25.22483, -80.21167)
"11736",c(25.22483, -80.21167)
"11737",c(24.45433, -81.8775)
"11738",c(25.22483, -80.21167)
"11739",c(25.22483, -80.21167)
"11740",c(24.90817, -80.52517)
"11741",c(25.22483, -80.21167)
"11742",c(24.45433, -81.8775)
"11743",c(24.90817, -80.52517)
"11744",c(24.90817, -80.52517)
"11745",c(24.90817, -80.52517)
"11746",c(24.90817, -80.52517)
"11747",c(24.90817, -80.52517)
"11748",c(25.14483, -80.25883)
"11749",c(25.14483, -80.25883)
"11750",c(25.14483, -80.25883)
"11751",c(25.14483, -80.25883)
"11752",c(25.14483, -80.25883)
"11753",c(25.14483, -80.25883)
"11754",c(25.14483, -80.25883)
"11755",c(25.14483, -80.25883)
"11756",c(25.03617, -80.35083)
"11757",c(25.14483, -80.25883)
"11758",c(25.03617, -80.35083)
"11759",c(25.03617, -80.35083)
"11760",c(25.03617, -80.35083)
"11761",c(25.03617, -80.35083)
"11762",c(25.03617, -80.35083)
"11763",c(25.012, -80.37667)
"11764",c(25.012, -80.37667)
"11765",c(25.012, -80.37667)
"11766",c(25.012, -80.37667)
"11767",c(25.012, -80.37667)
"11768",c(25.012, -80.37667)
"11769",c(-1.052999, -82.925832)
"11770",c(-30.2007, 30.7838)
"11771",c(24.43653, -81.98388)
"11772",c(24.43653, -81.98388)
"11773",c(24.43653, -81.98388)
"11774",c(24.43653, -81.98388)
"11775",c(24.74433, -80.78033)
"11776",c(24.74433, -80.78033)
"11777",c(24.74433, -80.78033)
"11778",c(24.74433, -80.78033)
"11779",c(24.74433, -80.78033)
"11780",c(24.74433, -80.78033)
"11781",c(24.74433, -80.78033)
"11782",c(24.74433, -80.78033)
"11783",c(24.74433, -80.78033)
"11784",c(24.74433, -80.78033)
"11785",c(24.74433, -80.78033)
"11786",c(24.44467, -81.92617)
"11787",c(24.74433, -80.78033)
"11788",c(24.44467, -81.92617)
"11789",c(24.74433, -80.78033)
"11790",c(24.44467, -81.92617)
"11791",c(24.44467, -81.92617)
"11792",c(24.44467, -81.92617)
"11793",c(24.44467, -81.92617)
"11794",c(24.46483, -81.8375)
"11795",c(24.46483, -81.8375)
"11796",c(24.46483, -81.8375)
"11797",c(24.46483, -81.8375)
"11798",c(24.46483, -81.8375)
"11799",c(24.46483, -81.8375)
"11800",c(24.549, -81.7435)
"11801",c(24.549, -81.7435)
"11802",c(24.549, -81.7435)
"11803",c(24.74433, -80.78033)
"11804",c(24.549, -81.7435)
"11805",c(24.549, -81.7435)
"11806",c(24.549, -81.7435)
"11807",c(24.5505, -81.71417)
"11808",c(24.549, -81.7435)
"11809",c(24.5505, -81.71417)
"11810",c(24.5505, -81.71417)
"11811",c(24.5505, -81.71417)
"11812",c(24.5505, -81.71417)
"11813",c(24.5505, -81.71417)
"11814",c(24.69767, -80.9695)
"11815",c(24.69767, -80.9695)
"11816",c(24.69767, -80.9695)
"11817",c(24.69767, -80.9695)
"11818",c(24.69767, -80.9695)
"11819",c(24.4935, -81.71367)
"11820",c(24.69767, -80.9695)
"11821",c(24.4935, -81.71367)
"11822",c(24.4935, -81.71367)
"11823",c(24.4935, -81.71367)
"11824",c(24.4935, -81.71367)
"11825",c(24.50267, -81.67283)
"11826",c(24.50267, -81.67283)
"11827",c(24.50267, -81.67283)
"11828",c(24.50267, -81.67283)
"11829",c(24.4935, -81.71367)
"11830",c(24.50267, -81.67283)
"11831",c(24.50267, -81.67283)
"11832",c(24.49683, -81.70633)
"11833",c(24.49683, -81.70633)
"11834",c(24.49683, -81.70633)
"11835",c(24.49683, -81.70633)
"11836",c(24.49683, -81.70633)
"11837",c(24.48433, -81.75683)
"11838",c(24.48433, -81.75683)
"11839",c(24.49683, -81.70633)
"11840",c(24.48433, -81.75683)
"11841",c(24.57017, -81.32717)
"11842",c(24.57017, -81.32717)
"11843",c(24.48433, -81.75683)
"11844",c(24.48433, -81.75683)
"11845",c(24.57017, -81.32717)
"11846",c(24.57017, -81.32717)
"11847",c(24.56817, -81.38517)
"11848",c(24.57017, -81.32717)
"11849",c(24.56817, -81.38517)
"11850",c(24.56817, -81.38517)
"11851",c(24.56817, -81.38517)
"11852",c(24.56817, -81.38517)
"11853",c(24.56817, -81.38517)
"11854",c(24.68538, -80.96382)
"11855",c(24.68538, -80.96382)
"11856",c(24.68538, -80.96382)
"11857",c(24.68538, -80.96382)
"11858",c(24.68538, -80.96382)
"11859",c(24.9055, -80.61533)
"11860",c(24.48433, -81.75683)
"11861",c(24.57017, -81.32717)
"11862",c(24.68538, -80.96382)
"11863",c(24.9055, -80.61533)
"11864",c(24.9055, -80.61533)
"11865",c(24.5505, -81.71417)
"11866",c(24.56817, -81.38517)
"11867",c(24.9055, -80.61533)
"11868",c(24.9055, -80.61533)
"11869",c(24.9875, -80.4144)
"11870",c(24.9055, -80.61533)
"11871",c(24.9055, -80.61533)
"11872",c(24.9875, -80.4144)
"11873",c(24.9875, -80.4144)
"11874",c(24.9875, -80.4144)
"11875",c(24.9875, -80.4144)
"11876",c(24.9875, -80.4144)
"11877",c(25.58667, -80.09217)
"11878",c(25.58667, -80.09217)
"11879",c(25.58667, -80.09217)
"11880",c(25.58667, -80.09217)
"11881",c(25.58667, -80.09217)
"11882",c(25.58667, -80.09217)
"11883",c(25.58667, -80.09217)
"11884",c(25.58667, -80.09217)
"11885",c(24.52317, -81.51833)
"11886",c(24.52317, -81.51833)
"11887",c(24.52317, -81.51833)
"11888",c(24.52317, -81.51833)
"11889",c(24.52317, -81.51833)
"11890",c(24.52317, -81.51833)
"11891",c(24.7655, -80.7565)
"11892",c(24.7655, -80.7565)
"11893",c(24.7655, -80.7565)
"11894",c(24.7655, -80.7565)
"11895",c(24.7655, -80.7565)
"11896",c(24.7655, -80.7565)
"11897",c(24.7655, -80.7565)
"11898",c(24.7655, -80.7565)
"11899",c(24.7655, -80.7565)
"11900",c(24.7655, -80.7565)
"11901",c(25.211, -80.22)
"11902",c(24.7655, -80.7565)
"11903",c(25.211, -80.22)
"11904",c(25.211, -80.22)
"11905",c(25.211, -80.22)
"11906",c(25.211, -80.22)
"11907",c(25.211, -80.22)
"11908",c(24.45867, -81.8445)
"11909",c(24.45867, -81.8445)
"11910",c(24.45867, -81.8445)
"11911",c(24.45867, -81.8445)
"11912",c(24.45867, -81.8445)
"11913",c(24.45867, -81.8445)
"11914",c(24.55417, -81.68133)
"11915",c(24.55417, -81.68133)
"11916",c(24.55417, -81.68133)
"11917",c(24.55417, -81.68133)
"11918",c(24.55417, -81.68133)
"11919",c(24.55417, -81.68133)
"11920",c(24.55383, -81.68717)
"11921",c(24.55383, -81.68717)
"11922",c(24.55383, -81.68717)
"11923",c(24.55383, -81.68717)
"11924",c(24.454, -81.85717)
"11925",c(24.55383, -81.68717)
"11926",c(24.454, -81.85717)
"11927",c(24.454, -81.85717)
"11928",c(24.454, -81.85717)
"11929",c(24.454, -81.85717)
"11930",c(25.48667, -80.15)
"11931",c(25.48667, -80.15)
"11932",c(25.48667, -80.15)
"11933",c(25.48667, -80.15)
"11934",c(25.48667, -80.15)
"11935",c(24.92267, -80.50567)
"11936",c(24.92267, -80.50567)
"11937",c(24.92267, -80.50567)
"11938",c(24.92267, -80.50567)
"11939",c(24.92267, -80.50567)
"11940",c(24.9343, -80.55)
"11941",c(24.9343, -80.55)
"11942",c(25.48667, -80.15)
"11943",c(24.9343, -80.55)
"11944",c(24.9343, -80.55)
"11945",c(25.1545, -80.28817)
"11946",c(25.1545, -80.28817)
"11947",c(25.1545, -80.28817)
"11948",c(25.1545, -80.28817)
"11949",c(25.1545, -80.28817)
"11950",c(25.1545, -80.28817)
"11951",c(24.615, -81.3955)
"11952",c(24.615, -81.3955)
"11953",c(24.615, -81.3955)
"11954",c(24.615, -81.3955)
"11955",c(24.615, -81.3955)
"11956",c(25.28383, -80.206)
"11957",c(24.615, -81.3955)
"11958",c(25.28383, -80.206)
"11959",c(25.28383, -80.206)
"11960",c(25.28383, -80.206)
"11961",c(24.49133, -81.664)
"11962",c(25.28383, -80.206)
"11963",c(24.49133, -81.664)
"11964",c(24.49133, -81.664)
"11965",c(24.7655, -80.7565)
"11966",c(24.9343, -80.55)
"11967",c(25.28383, -80.206)
"11968",c(24.49133, -81.664)
"11969",c(24.49133, -81.664)
"11970",c(24.49133, -81.664)
"11971",c(24.48783, -81.6755)
"11972",c(24.48783, -81.6755)
"11973",c(24.48783, -81.6755)
"11974",c(24.48783, -81.6755)
"11975",c(24.9055, -80.61533)
"11976",c(24.55383, -81.68717)
"11977",c(24.454, -81.85717)
"11978",c(24.9343, -80.55)
"11979",c(24.48783, -81.6755)
"11980",c(24.48183, -81.706)
"11981",c(24.48183, -81.706)
"11982",c(24.7655, -80.7565)
"11983",c(24.7655, -80.7565)
"11984",c(24.92267, -80.50567)
"11985",c(24.48783, -81.6755)
"11986",c(24.48183, -81.706)
"11987",c(24.48183, -81.706)
"11988",c(24.48183, -81.706)
"11989",c(24.48183, -81.706)
"11990",c(24.48183, -81.706)
"11991",c(24.48183, -81.706)
"11992",c(24.48183, -81.706)
"11993",c(24.48183, -81.706)
"11994",c(24.48183, -81.706)
"11995",c(24.48183, -81.706)
"11996",c(24.481, -81.71233)
"11997",c(24.481, -81.71233)
"11998",c(24.481, -81.71233)
"11999",c(24.481, -81.71233)
"12000",c(24.481, -81.71233)
"12001",c(24.481, -81.71233)
"12002",c(24.481, -81.71233)
"12003",c(24.481, -81.71233)
"12004",c(24.481, -81.71233)
"12005",c(24.481, -81.71233)
"12006",c(24.481, -81.71233)
"12007",c(24.61933, -81.38117)
"12008",c(24.61933, -81.38117)
"12009",c(24.481, -81.71233)
"12010",c(24.61933, -81.38117)
"12011",c(24.61933, -81.38117)
"12012",c(24.61933, -81.38117)
"12013",c(24.61933, -81.38117)
"12014",c(24.615, -81.394)
"12015",c(24.615, -81.394)
"12016",c(24.615, -81.394)
"12017",c(24.615, -81.394)
"12018",c(24.615, -81.394)
"12019",c(25.01783, -80.40783)
"12020",c(25.01783, -80.40783)
"12021",c(25.01783, -80.40783)
"12022",c(25.01783, -80.40783)
"12023",c(25.01783, -80.40783)
"12024",c(24.54633, -81.40833)
"12025",c(24.54633, -81.40833)
"12026",c(24.54633, -81.40833)
"12027",c(24.54633, -81.40833)
"12028",c(24.54683, -81.40433)
"12029",c(24.54683, -81.40433)
"12030",c(24.54683, -81.40433)
"12031",c(24.54683, -81.40433)
"12032",c(24.54683, -81.40433)
"12033",c(25.395, -80.13167)
"12034",c(25.395, -80.13167)
"12035",c(25.395, -80.13167)
"12036",c(25.395, -80.13167)
"12037",c(25.395, -80.13167)
"12038",c(25.395, -80.13167)
"12039",c(25.475, -80.11333)
"12040",c(25.475, -80.11333)
"12041",c(25.475, -80.11333)
"12042",c(25.475, -80.11333)
"12043",c(25.475, -80.11333)
"12044",c(25.55667, -80.10167)
"12045",c(25.55667, -80.10167)
"12046",c(25.55667, -80.10167)
"12047",c(25.55667, -80.10167)
"12048",c(25.55667, -80.10167)
"12049",c(25.62667, -80.09167)
"12050",c(25.62667, -80.09167)
"12051",c(25.62667, -80.09167)
"12052",c(25.62667, -80.09167)
"12053",c(25.62667, -80.09167)
"12054",c(25.62667, -80.09167)
"12055",c(25.31833, -80.18333)
"12056",c(25.31833, -80.18333)
"12057",c(25.31833, -80.18333)
"12058",c(25.31833, -80.18333)
"12059",c(25.31833, -80.18333)
"12060",c(25.34, -80.165)
"12061",c(25.34, -80.165)
"12062",c(25.34, -80.165)
"12063",c(25.34, -80.165)
"12064",c(25.34, -80.165)
"12065",c(25.385, -80.165)
"12066",c(25.385, -80.165)
"12067",c(25.385, -80.165)
"12068",c(25.385, -80.165)
"12069",c(25.385, -80.165)
"12070",c(25.41, -80.15167)
"12071",c(25.41, -80.15167)
"12072",c(25.41, -80.15167)
"12073",c(25.41, -80.15167)
"12074",c(25.41, -80.15167)
"12075",c(25.41167, -80.18667)
"12076",c(25.41167, -80.18667)
"12077",c(25.41, -80.15167)
"12078",c(25.41167, -80.18667)
"12079",c(25.41167, -80.18667)
"12080",c(25.12333, -80.2975)
"12081",c(25.12333, -80.2975)
"12082",c(25.12333, -80.2975)
"12083",c(24.615, -81.394)
"12084",c(24.54633, -81.40833)
"12085",c(24.54683, -81.40433)
"12086",c(25.475, -80.11333)
