"","geometry"
"465",c(-1.2865, -81.0795)
"466",c(-0.4918, -82.0067)
"467",c(-1.0321, -81.1338)
"468",c(-3.4928, -81.817)
"469",c(-3.7472, -81.4815)
"470",c(-3.6186, -80.8455)
"471",c(-2.6013, -81.2945)
"472",c(-2.3278, -81.2806)
"473",c(-3.0738, -81.1177)
"474",c(-3.5395, -81.0041)
"475",c(-3.4912, -81.0172)
"476",c(-2.8279, -81.2041)
"477",c(-2.6276, -81.261)
"478",c(-2.7243, -81.1952)
"479",c(-2.8008, -81.1889)
"480",c(-3.1608, -81.118)
"481",c(-3.1723, -81.1267)
"482",c(-3.1665, -81.192)
"483",c(-3.3835, -81.0131)
"484",c(-0.9704, -81.7021)
"485",c(-1.5753, -83.7708)
"486",c(-3.1119, -81.0403)
"487",c(-3.3629, -81.2562)
"488",c(-1.961, -83.1357)
"489",c(-3.5014, -81.1918)
"490",c(-3.0972, -81.0519)
"491",c(-0.8509, -81.704)
"492",c(-1.9045, -81.5463)
"493",c(-2.9705, -81.0019)
"494",c(-2.4304, -82.3246)
"495",c(-2.9819, -81.0663)
"496",c(-1.9731, -81.5334)
"497",c(-3.2464, -81.0071)
"498",c(-2.9992, -81.0999)
"499",c(-3.458, -81.2425)
"500",c(-1.4272, -81.4451)
"501",c(-1.9532, -83.0776)
"502",c(-3.2441, -80.9614)
"503",c(-3.085, -80.7574)
"504",c(-1.8976, -83.9665)
"505",c(-3.4484, -81.2364)
"506",c(-1.9682, -84.1476)
"507",c(-1.1592, -81.655)
"508",c(-3.2857, -81.3051)
"509",c(-1.2855, -81.4647)
"510",c(-1.919, -84.1136)
"511",c(-3.3015, -81.3012)
"512",c(-3.4055, -81.2091)
"513",c(-3.4091, -81.2068)
"514",c(-3.0044, -81.079)
"515",c(-1.7857, -81.0995)
"516",c(-1.7611, -81.0995)
"517",c(-3.2104, -80.9782)
"518",c(-3.2868, -81.0662)
"519",c(-1.0308, -81.1343)
"520",c(-1.5563, -80.816)
"521",c(-2.6956, -81.0972)
"522",c(-2.7613, -81.1227)
"523",c(-3.4565, -81.2319)
"524",c(-3.449, -81.2298)
"525",c(-3.4576, -81.2244)
"526",c(-3.4583, -81.2379)
"527",c(-3.4327, -81.2297)
"528",c(-2.6275, -81.261)
"529",c(-2.5527, -81.2433)
"530",c(-3.4456, -81.2283)
"531",c(-2.6024, -81.2263)
"532",c(-3.3252, -81.209)
"533",c(-3.0753, -80.9917)
"534",c(-1.2765, -81.0842)
"535",c(-1.2682, -81.0626)
"536",c(-3.067, -80.9863)
"537",c(-1.3, -81.0788)
"538",c(-2.8106, -81.2647)
"539",c(-1.2873, -81.0989)
"540",c(-2.6347, -81.2609)
"541",c(-3.3867, -81.017)
"542",c(-3.3643, -80.9571)
"543",c(-3.3464, -80.9696)
"544",c(-3.675, -80.9041)
"545",c(-2.9677, -81.4654)
"546",c(-2.286, -81.275)
"547",c(-3.1571, -80.8143)
"548",c(-1.2567, -81.0587)
"549",c(-3.2846, -80.7907)
"550",c(-1.264, -81.0885)
"551",c(-1.2603, -81.0925)
