"","latitude","longitde","value_per_area","units_1"
"210",-13.717,124.7,"          null ","-----"
"211",-11.15,123.417,"       5000.000","mg/m2"
"212",-11.15,123.417,"       3200.000","mg/m2"
"213",-11.317,118.683,"          null ","-----"
"214",-11.317,118.683,"          null ","-----"
"215",-14.817,120.4,"       4200.000","mg/m2"
"216",-14.817,120.4,"       1400.000","mg/m2"
"217",-17.417,121.7,"          null ","-----"
"218",-19.267,117.483,"          null ","-----"
"219",-13.717,114.817,"          null ","-----"
"220",-13.717,114.817,"          null ","-----"
"221",-12.717,109.133,"         12800.","mg/m2"
"222",-12.717,109.133,"       1200.000","mg/m2"
"223",-16.067,111.3,"          null ","-----"
"224",-16.067,111.3,"          null ","-----"
"225",-19.983,113.25,"       6800.000","mg/m2"
"226",-19.983,113.25,"          null ","-----"
"227",-35,105.167,"       2600.000","mg/m2"
"228",-35,105.167,"       400.0000","mg/m2"
"229",-31.917,107,"       800.0000","mg/m2"
"230",-31.917,107,"       1000.000","mg/m2"
"231",-31.933,111.8,"       2000.000","mg/m2"
"232",-31.933,111.8,"       800.0000","mg/m2"
"233",-32.117,115.25,"          null ","-----"
"234",-35.917,114.667,"          null ","-----"
"235",-35.917,114.667,"          null ","-----"
"236",-35.917,114.667,"          null ","-----"
"237",-37.033,114.4,"          null ","-----"
"238",-37.9,114.45,"          null ","-----"
"239",-37.9,114.45,"          null ","-----"
"240",-37.9,114.45,"          null ","-----"
"241",-38.933,114.533,"          null ","-----"
"242",-40.05,114.833,"          null ","-----"
"243",-40.05,114.833,"          null ","-----"
"244",-40.05,114.833,"          null ","-----"
"245",-40.05,114.833,"          null ","-----"
"246",-40.05,114.833,"          null ","-----"
"247",-40.85,114.683,"          null ","-----"
"248",-42.017,114.5,"          null ","-----"
"249",-42.017,114.5,"          null ","-----"
"250",-42.017,114.5,"          null ","-----"
"251",-42.017,114.5,"          null ","-----"
"252",-43.95,114.5,"          null ","-----"
"253",-43.95,114.5,"          null ","-----"
"254",-43.95,114.5,"          null ","-----"
"255",-43.95,114.5,"          null ","-----"
"256",-43.95,114.5,"          null ","-----"
"257",-43.433,115.567,"          null ","-----"
"258",-42.833,116.767,"          null ","-----"
"259",-42.833,116.767,"          null ","-----"
"260",-42.1,118.017,"          null ","-----"
"261",-43.367,114.5,"          null ","-----"
